# environment: cpu=32 ram=251174MB disk=263611MB gpu=2xNVIDIA_A100-SXM4-80GB python=3.12.12 network=disabled_by_policy
# metric_direction: lower
# mode: loop
# run_tag: qwen3-4b-layer17-qproj-deploy-objective
# parallel: serial
# web_search: disabled
# goal: 持续优化 Qwen3-4B layer17 q_proj SAE 部署 objective（latest_exceed 语义）
# scope: research/deploy_objective_autoresearch/**,research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective/**,checkpoints/qwen3-4B/deploy_objective_autoresearch/**,tests/research/test_deploy_objective_*.py
# repos_json: [{"path":"/root/sparsify-ascend","role":"primary","scope":"research/deploy_objective_autoresearch/**,research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective/**,checkpoints/qwen3-4B/deploy_objective_autoresearch/**,tests/research/test_deploy_objective_*.py"}]
# metric: objective = total_cost_ratio + latest_exceed_alpha_0.50
# verify: python -m research.deploy_objective_autoresearch.main metric --run-root research/autoresearch_runs/qwen3-4b-layer17-qproj-deploy-objective --bootstrap-if-missing
# stop_condition: manual_stop_or_inner_run_finished
# execution_policy: danger_full_access
iteration	commit	metric	delta	guard	status	description
10	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5721993460826874	0	-	pivot	[PIVOT] Abandon the higher-cost K=80/88 continuation strategy after five consecutive non-keep outer iterations: K=88 reduced latest_exceed but never offset its extra cost and regressed again at 60M. Switch to an under-baseline cost frontier, starting from a cheaper K=72 candidate with the same experts/latents to test whether comparable exceed can convert into a lower deploy objective.
11	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5795403593215942	+0.0073410132389068	-	discard	Run pivoted trial_0003 at K=72 through its first 15M-token checkpoint; the cheaper structure dropped total_cost_ratio to 0.077116, but latest_exceed_alpha_0.50 stayed high enough that the deploy objective landed at 0.5795403593, so the outer loop discards this checkpoint while the inner heuristic conservatively continues to 30M.
12	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5726530426177978	+0.0004536965351104	-	discard	Continue pivoted trial_0003 from 15M to 30M tokens at K=72; the cheaper structure sharply improved latest_exceed and reduced the deploy objective from 0.5795403593 to 0.5726530426, but it still remained slightly above the retained 0.5721993461 best, so the outer loop records a discard while the inner scheduler continues the same trial to 45M.
13	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5686420076522827	-0.0035573384304047	-	keep	Continue pivoted trial_0003 from 30M to 45M tokens at K=72; the cheaper-than-baseline recipe reduced latest_exceed enough to reach a new outer best objective of 0.5686420077, beating the retained 0.5721993461 by about 0.00356 while preserving the lower 0.077116 cost ratio, so this checkpoint is kept and becomes the new incumbent.
14	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5696262591514587	+0.000984251499176	-	discard	Continue retained trial_0003 from 45M to 60M tokens at K=72; the cheaper-than-baseline candidate remained strong but regressed from the kept 45M checkpoint, ending at 0.5696262592, so the inner scheduler stopped it for weak recent gain and the outer loop records a discard while preserving the 45M best of 0.5686420077 as the retained incumbent.
15	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5787296688270569	+0.0100876611747742	-	discard	Run trial_0004 at K=72 and LATENTS_PER_EXPERT=104 through its first 15M-token checkpoint; the added latent width raised total_cost_ratio to 0.07972 without recovering enough exceed, so the deploy objective landed at 0.5787296688, materially above the retained 0.5686420077 best. The outer loop records a discard while the inner heuristic conservatively continues this wider variant to 30M.
16	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.57089711186409	+0.0022551042118073	-	discard	Continue trial_0004 from 15M to 30M tokens at K=72 and LATENTS_PER_EXPERT=104; the wider variant improved its own deploy objective from 0.5787296688 to 0.5708971119, but it still remained above the retained 0.5686420077 best from trial_0003, so the outer loop records a discard while the inner scheduler keeps the trial alive for another 15M segment.
17	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5686420076522827	0	-	refine	[REFINE] Re-read the recent K72-family rows and the lessons file: the winning signal came from the cheaper K72/LATENTS96 recipe at 45M, while both extending that recipe to 60M and widening to LATENTS104 raised cost or lost objective headroom. Refine the search around the kept K72 family by treating the 0.077116 cost envelope as the reference; allow the in-flight LATENTS104 trial one more 45M checkpoint because its last 15M improved materially, but if it still trails the incumbent then prefer same-cost or cheaper K72 variants and training-hyper changes over further width increases.
18	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5670499300670624	-0.0015920775852203	-	keep	Continue refined trial_0004 from 30M to 45M tokens at K=72 and LATENTS_PER_EXPERT=104; the wider K72 variant finally crossed the incumbent, lowering the deploy objective to 0.5670499301 and beating the retained 0.5686420077 best by about 0.00159. This checkpoint is kept and becomes the new outer incumbent despite the slightly higher 0.07972 cost ratio.
19	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5683957731437683	+0.0013458430767059	-	discard	Continue retained trial_0004 from 45M to 60M tokens at K=72 and LATENTS_PER_EXPERT=104; the wider K72 variant stayed strong but regressed from the kept 45M checkpoint, finishing at 0.5683957731. That remains better than the older K72/LATENTS96 line but is still above the retained 0.5670499301 incumbent, so the outer loop records a discard while preserving the 45M checkpoint as best.
20	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5810230013580322	+0.0139730712909698	-	discard	Run trial_0005 at K=80 and LATENTS_PER_EXPERT=104 through its first 15M-token checkpoint; the wider K80 variant kept a higher 0.084147 total_cost_ratio and only reduced latest_exceed_alpha_0.50 to 0.4968760014, so the deploy objective landed at 0.5810230014, well above the retained 0.5670499301 best from trial_0004. The outer loop records a discard while the inner heuristic conservatively continues the same trial to 30M.
21	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5733302172870636	+0.0062802872200012	-	discard	Continue trial_0005 from 15M to 30M tokens at K=80 and LATENTS_PER_EXPERT=104; the higher-cost K80 variant improved its deploy objective from 0.5810230014 to 0.5733302173 and even edged past the older K80/LATENTS96 line, but it still remained above the retained 0.5670499301 best from trial_0004 because the 0.084147 cost ratio left too little objective headroom. The outer loop records a discard while the inner scheduler continues the same trial to 45M for one more checkpoint.
22	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5670499300670624	0	-	refine	[REFINE] Re-read the recent rows and lessons: both retained wins came from the cheaper K72 family at 45M, while higher-cost K80/K88 variants only become competitive after large late-stage exceed drops. Refine the search by letting the in-flight K80/LATENTS104 trial take one 45M checkpoint because its 15M-to-30M segment improved objective by about 0.00769 and already beat the older K80/LATENTS96 line; however, treat the kept K72/LATENTS104 objective 0.5670499301 as the hard bar, and if trial_0005 still trails it at 45M then stop the K80 family and shift the next proposal toward same-cost-or-cheaper K72-style settings or training-hyper changes instead of further cost increases.
23	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5701225933284759	+0.0030726632614135	-	discard	Continue refined trial_0005 from 30M to 45M tokens at K=80 and LATENTS_PER_EXPERT=104; the higher-cost K80 line kept improving and reached 0.5701225933, comfortably beating the older K80/LATENTS96 result, but it still trailed the retained 0.5670499301 K72/LATENTS104 incumbent by about 0.00307. Per the refine guardrail, the outer loop records a discard and stops this K80 family at 45M instead of spending another 15M segment on the more expensive recipe.
24	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5670499300670624	0	-	pivot	[PIVOT] Abandon continued structural exploration above the K72 cost frontier after five consecutive non-keep iterations since the last keep: the refined K80/LATENTS104 line improved from 0.5810230014 at 15M to 0.5701225933 at 45M, but even its best checkpoint could not beat the retained 0.5670499301 K72/LATENTS104 incumbent and every higher-cost K80/K88 branch has now failed to produce a keep. Switch to a fundamentally different strategy family: keep total_cost_ratio at or below the winning K72 envelope and explore training-hyperparameter changes on that cheaper frontier rather than spending more tokens on larger-K or higher-cost width variants.
25	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.576681430595398	+0.0096315005283356	-	discard	Run pivoted trial_0006 at K=64 and LATENTS_PER_EXPERT=104 through its first 15M-token checkpoint; the cheaper recipe cut total_cost_ratio to 0.075293, but latest_exceed_alpha_0.50 was still 0.5013884306, leaving the deploy objective at 0.5766814306 and well above the retained 0.5670499301 best. The outer loop records a discard while the inner heuristic conservatively continues the same lower-cost trial to 30M.
26	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5688244357280732	+0.0017745056610108	-	discard	Continue pivoted trial_0006 from 15M to 30M tokens at K=64 and LATENTS_PER_EXPERT=104; the lower-cost recipe sharply improved its deploy objective from 0.5766814306 to 0.5688244357 and nearly caught the retained 0.5670499301 incumbent, but it still remained slightly above the best K72/LATENTS104 checkpoint by about 0.00177. The outer loop records a discard while the inner scheduler keeps this cheaper K64 line alive for a 45M checkpoint.
27	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	-0.0020043990154266	-	keep	Continue pivoted trial_0006 from 30M to 45M tokens at K=64 and LATENTS_PER_EXPERT=104; the cheaper K64 recipe kept its 0.075293 total_cost_ratio while driving latest_exceed_alpha_0.50 down to 0.4897525311, lowering the deploy objective to 0.5650455311. This beats the retained 0.5670499301 K72/LATENTS104 incumbent by about 0.00200, so the outer loop records a keep and promotes the low-cost K64 checkpoint as the new best.
28	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5667651846580506	+0.0017196536064148	-	discard	Continue retained trial_0006 from 45M to 60M tokens at K=64 and LATENTS_PER_EXPERT=104; the cheaper K64 line stayed strong but regressed from its kept 45M checkpoint, finishing at 0.5667651847. That remains comfortably better than the older K72 and K80 families, but it is above the retained 0.5650455311 best from the 45M checkpoint, so the outer loop records a discard while preserving 45M as the incumbent.
29	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5777884003372192	+0.0127428692855834	-	discard	Run trial_0007 at K=64 and LATENTS_PER_EXPERT=112 through its first 15M-token checkpoint; adding width on the same K64 frontier raised total_cost_ratio to 0.077897, but latest_exceed_alpha_0.50 was still 0.4998914003, leaving the deploy objective at 0.5777884003. That is materially worse than the retained 0.5650455311 K64/LATENTS104 incumbent, so the outer loop records a discard while the inner heuristic conservatively continues the trial to 30M.
30	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5696757909507751	+0.0046302598991393	-	discard	Continue trial_0007 from 15M to 30M tokens at K=64 and LATENTS_PER_EXPERT=112; the wider K64 variant improved its deploy objective from 0.5777884003 to 0.5696757910, but it still remained above the retained 0.5650455311 K64/LATENTS104 incumbent and above the lower-cost K64 family trajectory. The outer loop records a discard while the inner scheduler continues the same trial to 45M.
31	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	refine	[REFINE] Re-read the recent low-cost K64 rows and lessons: the winning signal came from K64/LATENTS104 at 45M with cost 0.075293, while widening the same K64 family to LATENTS112 raised cost to 0.077897 and still left the 30M checkpoint at 0.5696757910, well above the retained 0.5650455311 best. Refine the current branch by allowing the in-flight K64/LATENTS112 trial one 45M checkpoint because its 15M-to-30M segment still improved by about 0.00811, but treat the kept K64/LATENTS104 objective 0.5650455311 as the hard bar; if trial_0007 still trails it at 45M, stop this wider K64 variant and prefer same-cost-or-cheaper K64/K72 hyperparameter changes over further width increases.
32	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5656414803714752	+0.0005959493198394	-	discard	Continue refined trial_0007 from 30M to 45M tokens at K=64 and LATENTS_PER_EXPERT=112; the wider K64 variant improved its deploy objective to 0.5656414804, but it still trailed the retained 0.5650455311 K64/LATENTS104 incumbent by about 0.00060 while carrying the higher 0.077897 cost ratio. Per the refine guardrail, the outer loop records a discard and stops this wider K64 branch at 45M instead of spending another 15M segment on a costlier width increase.
33	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	pivot	[PIVOT] Abandon continued width expansion on the low-cost K64 frontier after five consecutive non-keep outer iterations since the last keep: the refined K64/LATENTS112 branch improved from 0.5777884003 at 15M to 0.5656414804 at 45M, but even its best checkpoint still could not beat the retained 0.5650455311 K64/LATENTS104 incumbent and it required the higher 0.077897 cost ratio to get there. Switch to a fundamentally different strategy family: keep total_cost_ratio at or below the winning K64 envelope and explore training-hyperparameter changes or same-cost-or-cheaper structure changes instead of adding more width on the same K64 branch.
34	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5800663187675477	+0.0150207877159119	-	discard	Run pivoted trial_0008 on the retained K64/LATENTS_PER_EXPERT104 structure with a lower LR=0.0006 through its first 15M-token checkpoint; holding the same 0.075293 total_cost_ratio did not help early convergence, and latest_exceed_alpha_0.50 landed at 0.5047733188 for a deploy objective of 0.5800663188. That is about 0.01502 above the retained 0.5650455311 best and materially behind the original LR=0.0008 trajectory, so the outer loop records a discard while the inner scheduler conservatively keeps the slower-learning branch alive for a 30M checkpoint.
35	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	refine	[REFINE] Re-read the recent low-cost rows and lessons: the same-cost K64/LATENTS104 branch with LR=0.0006 started far behind at 15M, but it improved by about 0.00848 from 15M to 30M, slightly outpacing the original LR=0.0008 K64/LATENTS104 branch's 15M-to-30M gain on the same 0.075293 cost frontier. Refine the current hyperparameter line by allowing this slower-learning trial one 45M checkpoint because the lower learning rate may shift its gains later in training; however, keep the retained 0.5650455311 objective as the hard bar, and if the LR=0.0006 branch still trails it at 45M then stop this low-LR experiment and switch to a different hyperparameter family rather than spending more tokens on it.
36	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5677335217170716	+0.0026879906654358	-	discard	Continue refined trial_0008 from 30M to 45M tokens on the retained K64/LATENTS_PER_EXPERT104 structure with LR=0.0006; the slower-learning branch kept improving and reached a deploy objective of 0.5677335217, but it still trailed the retained 0.5650455311 best by about 0.00269 and never caught the original LR=0.0008 checkpoint on the same cost frontier. Per the refine guardrail, the outer loop records a discard and stops this low-LR branch at 45M instead of spending another 15M segment on a hyperparameter line that still has not crossed the incumbent.
37	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5768440320663453	+0.0117985010147095	-	discard	Run trial_0009 on the retained K64/LATENTS_PER_EXPERT104 structure with AUXK_ALPHA=0.015625 through its first 15M-token checkpoint; the lower-auxiliary branch held the same 0.075293 total_cost_ratio and reached a deploy objective of 0.5768440321. That is still above the retained 0.5650455311 best, so the outer loop records a discard, but this start is materially better than the failed low-LR branch and only about 0.00016 behind the original K64/LATENTS104 15M trajectory, so the inner scheduler continues it to 30M.
38	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	refine	[REFINE] Re-read the recent same-cost hyperparameter rows: lowering AUXK_ALPHA to 0.015625 on K64/LATENTS104 improved by about 0.00773 from 15M to 30M and now sits only about 0.00029 behind the original LR=0.0008/AUXK_ALPHA=0.03125 trajectory at the same 30M checkpoint, while clearly outperforming the low-LR branch. Refine this hyperparameter line by allowing one 45M checkpoint because the lower-auxiliary recipe still has realistic crossover potential on the retained cost frontier; however, keep 0.5650455311 as the hard bar, and if the AUXK_ALPHA=0.015625 branch still trails it at 45M then stop this branch and move on to a different hyperparameter family.
39	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5654516472988129	+0.0004061162471771	-	discard	Continue refined trial_0009 from 30M to 45M tokens on the retained K64/LATENTS_PER_EXPERT104 structure with AUXK_ALPHA=0.015625; the lower-auxiliary branch kept improving and reached a deploy objective of 0.5654516473, missing the retained 0.5650455311 best by only about 0.00041 on the same 0.075293 cost frontier. The outer loop still records a discard because the metric is mechanically worse, and per the refine guardrail it stops this AUXK branch at 45M rather than letting an unkept checkpoint continue to 60M.
40	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5938197963867188	+0.028774265335083	-	discard	Run trial_0010 on the K64/LATENTS_PER_EXPERT104 frontier with ACTIVE_EXPERTS=1 through its first 15M-token checkpoint; the more aggressive sparsity cut lowered total_cost_ratio to 0.058366, but latest_exceed_alpha_0.50 was still 0.5354537964 and the deploy objective landed at 0.5938197964. That is about 0.02877 above the retained 0.5650455311 best, so the outer loop records a discard and treats the one-active-expert recipe as too quality-destructive to justify another 15M segment.
41	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	pivot	[PIVOT] Abandon further hyperparameter-only tuning around the fixed K64/LATENTS104 recipe after a full post-pivot sweep failed to produce a keep: lowering LR to 0.0006 still missed by about 0.00269 at 45M, lowering AUXK_ALPHA to 0.015625 came closest but still missed by about 0.00041 at 45M, and collapsing to ACTIVE_EXPERTS=1 cut cost too aggressively and failed badly at 15M. Switch to a fundamentally different structural frontier: keep ACTIVE_EXPERTS at 2 to preserve quality, but lower K from 64 to 56 on the same latents/expert and baseline optimizer settings to test whether a moderate cost reduction can create more objective headroom without the severe reconstruction collapse seen from the one-active-expert recipe.
42	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5742856376800537	+0.0092401066284179	-	discard	Run pivoted trial_0011 at K=56 and LATENTS_PER_EXPERT=104 through its first 15M-token checkpoint; lowering K while keeping ACTIVE_EXPERTS=2 reduced total_cost_ratio to 0.070866 and produced a deploy objective of 0.5742856377. That is still about 0.00924 above the retained 0.5650455311 best, so the outer loop records a discard, but this cheaper K56 structure starts materially stronger than the failed ACTIVE_EXPERTS=1 branch and preserves enough quality to justify a 30M checkpoint.
43	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5650455310516358	0	-	refine	[REFINE] Re-read the recent post-pivot rows: lowering K from 64 to 56 while keeping ACTIVE_EXPERTS=2 cut total_cost_ratio to 0.070866 and improved the new K56 branch by about 0.00744 from 15M to 30M, bringing its deploy objective down to 0.5668415838. That now sits only about 0.00180 above the retained 0.5650455311 best and materially ahead of the weaker low-LR and ACTIVE_EXPERTS=1 branches at comparable checkpoints. Refine this lower-K structural line by allowing one 45M checkpoint because it still has realistic crossover potential on a meaningfully cheaper frontier; however, keep 0.5650455311 as the hard bar, and if K56/LATENTS104 still trails it at 45M then stop this branch and move on rather than spending another 15M segment on an unkept checkpoint.
44	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5633223765525818	-0.001723154499054	-	keep	Continue refined trial_0011 from 30M to 45M tokens at K=56 and LATENTS_PER_EXPERT=104; the cheaper K56 structure kept its 0.070866 total_cost_ratio while driving latest_exceed_alpha_0.50 down enough to reach a best deploy objective of 0.5633223766. This beats the retained 0.5650455311 K64/LATENTS104 incumbent by about 0.00172 on a meaningfully cheaper frontier, so the outer loop records a keep and promotes the K56 checkpoint as the new best.
45	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.564762484375	+0.0014401078224182	-	discard	Continue retained trial_0011 from 45M to 60M tokens at K=56 and LATENTS_PER_EXPERT=104; the cheaper K56 line stayed strong and still beat every older branch, but it regressed from its kept 45M checkpoint and finished at 0.5647624844. That remains better than the best K64 hyperparameter sweeps, but it is above the retained 0.5633223766 best from the 45M checkpoint, so the outer loop records a discard while preserving 45M as the incumbent on this lower-cost frontier.
46	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5758693253707886	+0.0125469488182068	-	discard	Run trial_0012 at K=56 and LATENTS_PER_EXPERT=112 through its first 15M-token checkpoint; widening the cheaper K56 frontier raised total_cost_ratio to 0.07347 and produced a deploy objective of 0.5758693254. That is still above the retained 0.5633223766 best from K56/LATENTS104 at 45M, so the outer loop records a discard, but this start is only about 0.00158 behind the K56/LATENTS104 15M trajectory and remains strong enough to justify a 30M checkpoint on the same lower-cost structural family.
47	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5633223765525818	0	-	refine	[REFINE] Re-read the fresh K56 frontier rows: widening K56 from LATENTS104 to LATENTS112 improved by about 0.00775 from 15M to 30M, bringing the deploy objective down to 0.5681239104 while keeping total_cost_ratio at 0.07347. This still trails the retained 0.5633223766 K56/LATENTS104 best by about 0.00480 and sits about 0.00128 behind the K56/LATENTS104 trajectory at the same 30M checkpoint, but it is already slightly ahead of the older K64 family at comparable tokens. Refine this wider K56 branch by allowing one 45M checkpoint because it still has plausible late-stage crossover potential on a still-cheaper-than-K64 frontier; however, keep 0.5633223766 as the hard bar, and if K56/LATENTS112 still trails it at 45M then stop this width increase and move on.
48	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5645226871681214	+0.0012003106155396	-	discard	Continue refined trial_0012 from 30M to 45M tokens at K=56 and LATENTS_PER_EXPERT=112; the wider K56 branch kept improving and reached a best deploy objective of 0.5645226872, which is better than the older K56 60M result but still trails the retained 0.5633223766 K56/LATENTS104 checkpoint by about 0.00120 on the same structural family. Per the refine guardrail, the outer loop records a discard and stops this width increase at 45M instead of spending another 15M segment on an unkept checkpoint.
49	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5633223765525818	0	-	pivot	[PIVOT] Abandon further width sweeps around the K56 frontier after five consecutive non-keep outer iterations since the last keep: continuing the retained K56/LATENTS104 line to 60M regressed, widening to LATENTS112 improved but still missed by about 0.00120 at 45M, and shrinking to LATENTS96 failed badly at 15M despite the lower 0.068262 cost ratio. Switch to a fundamentally different strategy family: keep the winning K56/LATENTS104 structure fixed and explore hyperparameter changes on that cheaper frontier, starting with the lower AUXK_ALPHA line that nearly worked on K64, instead of spending more tokens on K56 width changes.
50	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5742286556396484	+0.0109062790870666	-	discard	Run pivoted trial_0014 on the retained K=56 and LATENTS_PER_EXPERT=104 structure with lower AUXK_ALPHA=0.015625 through its first 15M-token checkpoint; keeping the cheaper 0.070866 cost frontier fixed nudged the start to a deploy objective of 0.5742286556, which is marginally better than the original K56/L104 15M opening but still about 0.01091 above the retained 0.5633223766 best. The outer loop records a discard for this checkpoint while the inner scheduler conservatively keeps the low-AUXK branch alive for a 30M checkpoint.
51	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5633223765525818	0	-	refine	[REFINE] Re-read the fresh low-AUXK K56 rows: lowering AUXK_ALPHA to 0.015625 on the retained K56/LATENTS104 structure improved trial_0014 by about 0.00749 from 15M to 30M, bringing the deploy objective down to 0.5667367690 on the same 0.070866 cost frontier. This still trails the retained 0.5633223766 best by about 0.00341, but it is now marginally ahead of the original K56/LATENTS104 branch at the same 30M checkpoint, so allow one 45M checkpoint to test for late crossover; if the low-AUXK line still misses 0.5633223766 at 45M, stop it there and move on rather than spending another 15M segment.
52	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5631763451728821	-0.0001460313796997	-	keep	Continue refined trial_0014 from 30M to 45M tokens on the retained K=56 and LATENTS_PER_EXPERT=104 structure with lower AUXK_ALPHA=0.015625; the cheaper 0.070866 cost frontier kept improving and reached a best deploy objective of 0.5631763452. This beats the retained 0.5633223766 K56/LATENTS104 incumbent by about 0.000146 on the same low-cost frontier, so the outer loop records a keep and promotes the 45M low-AUXK checkpoint as the new best.
53	cbcdd1e3ceffaab119a7b6bdbfbfd8f1db338017	0.5646634214553833	+0.0014870762825012	-	discard	Continue retained trial_0014 from 45M to 60M tokens on the cheaper K=56 and LATENTS_PER_EXPERT=104 structure with lower AUXK_ALPHA=0.015625; the low-cost 0.070866 frontier regressed from its kept 45M checkpoint and finished this segment at a deploy objective of 0.5646634215. That still edges the older K56 60M result, but it is about 0.00149 above the retained 0.5631763452 best from 45M, so the outer loop records a discard while preserving the 45M low-AUXK checkpoint as the incumbent.
